"Subject","Course Number","Department(s)","Course Title","Credits - Units - Minimum Units","Credits - Units - Maximum Units","Terms Offered","Course Description","Cross-Listed Course(s)","Repeat Rules","Repeat Rule: Special Circumstances","Offering Information","Additional Offering Information"
"ANTHRO","602","Anthropology","Individual Study for Doctoral Students","1","12","-","In preparation for Ph.D. examinations. Individual study in consultation with adviser. Intended to provide an opportunity for qualified students to prepare themselves for the various examinations required of candidates for the Ph.D. May not be used for unit or residence requirements for the degree.","-","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","C254","Anthropology","Topics in Science and Technology Studies","3","3","-","This course provides a strong foundation for graduate work in STS, a multidisciplinary field with a signature capacity to rethink the relationship among science, technology, and political and social life. From climate change to population genomics, access to medicines and the impact of new media, the problems of our time are simultaneously scientific and social, technological and political, ethical and economic.","HISTORYC250 TOPICS IN STS, ESPMC252 TOPICS IN STS, STSC200 TOPICS IN STS","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","C261","Anthropology","Theories of Narrative","4","4","-","This course examines a broad range of theories that elucidate the formal, structural, and contextual properties of narratives in relation to gestures, the body, and emotion; imagination and fantasy; memory and the senses; space and time. It focuses on narratives at work, on the move, in action as they emerge from the matrix of the everyday preeminently, storytelling in conversation--as key to folk genres--the folktale, the legend, the epic, the myth.","FOLKLORC261 THEORIES-NARRATIVE","Course is not repeatable for credit.","-","-","-"
"ANTHRO","C262A","Anthropology","Theories of Traditionality and Modernity","4","4","-","This seminar explores the emergence of notions of tradition and modernity and their reproduction in Eurocentric epistemologies and political formations. It uses work by such authors as Anderson, Butler, Chakrabarty, Clifford, Derrida, Foucault, Latour, Mignolo, Pateman, and Poovey to critically reread foundational works published between the 17th century and the present--along with philosophical texts with which they are in dialogue--in terms of how they are imbricated within and help produce traditionalities and modernities. ","FOLKLORC262A TRADITIONALITIES","Course may be repeated for credit with instructor consent.","-","-","-"
"ANTHRO","C262B","Anthropology","Theories of Traditionality and Modernity","4","4","-","This seminar explores the emergence of notions of tradition and modernity and their reproduction in Eurocentric epistemologies and political formations. It uses work by such authors as Anderson, Butler, Chakrabarty, Clifford, Derrida, Foucault, Latour, Mignolo, Pateman, and Poovey to critically reread foundational works published between the 17th century and the present--along with philosophical texts with which they are in dialogue--in terms of how they are imbricated within and help produce traditionalities and modernities.","FOLKLORC262B TRADITIONALITIES","Course may be repeated for credit with instructor consent.","-","-","-"
"ANTHRO","C273","Anthropology","Science and Technology Studies Research Seminar","3","3","-","This course will cover methods and approaches for students considering professionalizing in the field of STS, including a chance for students to workshop written work.","ESPMC273 STS RESEARCH SEM, STSC250 STS RESEARCH SEM, HISTORYC251 STS RESEARCH SEM","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","C292","Anthropology","Experiments in Collaboration and Reciprocal Transformation","4","4","-","Collaboration in ethnographic praxis on a local and global scale in folkloristics, sociocultural, linguistic, media, and medical anthropology, producing projects grounded in meaningful engagement with communities. Graduate students, working with lay mentors and faculty, will design and begin implementation of projects that break through infrastructures of theory, research, pedagogy, and practice that reproduce racial hierarchies and that erase anti-racist alternatives.
","FOLKLORC292 COLLAB IN ANTH","Course is not repeatable for credit.","-","-","-"
"ARABIC","200","Middle Eastern Languages and Cultures","Arabic Grammatical Tradition","3","3","-","Study of selected grammatical phenomena of Arabic based on readings from the classical Arabic grammarians, on the modern study of linguistics in the Arab world, and on the Western grammatical tradition.","-","Course may be repeated for credit when topic changes.","-","-","-"
"ARABIC","202","Middle Eastern Languages and Cultures","History of Arabic","3","3","-","The history of Arabic from its Semitic antecedents through the formation of the modern dialects.","-","Course may be repeated for credit when topic changes.","-","-","-"
"ARABIC","212","Middle Eastern Languages and Cultures","Topics in Modern Arabic Literature:  Poetry","3","3","-","Intensive study of modern poetry in relation to the cultural tradition.","-","Course may be repeated for credit without restriction.","-","-","-"
